R_version	name	version	date_time	hash	binary_location	status
4.2.2	abind	1.4.5	2023-04-17T16:09:01Z	03effa1c6746e91547e1cab8e8a8be90	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/abind/1.4-5/03effa1c6746e91547e1cab8e8a8be90/abind	available
4.2.2	askpass	1.1	2023-04-17T16:09:02Z	674bbeea4de0a1a26dc09c9d9b1f05c2	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/askpass/1.1/674bbeea4de0a1a26dc09c9d9b1f05c2/askpass	available
4.2.2	assertthat	0.2.1	2023-04-17T16:09:02Z	d27c5d7426a7ff0edce147657af2e8ce	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/assertthat/0.2.1/d27c5d7426a7ff0edce147657af2e8ce/assertthat	available
4.2.2	backports	1.4.1	2023-04-17T16:09:02Z	e06c76792dd23292735020a1e01eee10	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/backports/1.4.1/e06c76792dd23292735020a1e01eee10/backports	available
4.2.2	base	4.2.2	2023-04-17T16:09:03Z	51e3f2ab3a6bf7938e7854ca363c0c73	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/base/4.2.2/51e3f2ab3a6bf7938e7854ca363c0c73/base	base
4.2.2	base64enc	0.1.3	2023-04-17T16:09:03Z	609b334902243e8df6fd0de6e7bc77d4	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/base64enc/0.1-3/609b334902243e8df6fd0de6e7bc77d4/base64enc	available
4.2.2	BH	1.81.0.1	2023-04-17T16:10:57Z	037deb7d486f9f6e5bf8acaade08b999	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/BH/1.81.0-1/037deb7d486f9f6e5bf8acaade08b999/BH	available
4.2.2	bit	4.0.5	2023-04-17T16:11:58Z	1c7c59fa3c028d100a58f8c712d0f838	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/bit/4.0.5/1c7c59fa3c028d100a58f8c712d0f838/bit	available
4.2.2	bit64	4.0.5	2023-04-17T16:11:58Z	909ff036ef6b0bf42deff9ead2e7b12f	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/bit64/4.0.5/909ff036ef6b0bf42deff9ead2e7b12f/bit64	available
4.2.2	blaseRtemplates	0.0.0.9193	2023-04-17T16:11:59Z	61a8d8267c519663b36db5b6357b07aa	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/blaseRtemplates/0.0.0.9193/61a8d8267c519663b36db5b6357b07aa/blaseRtemplates	active
4.2.2	blob	1.2.3	2023-04-17T16:11:59Z	0c1aca00497e0463b6a2a62ddf69454d	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/blob/1.2.3/0c1aca00497e0463b6a2a62ddf69454d/blob	available
4.2.2	boot	1.3.28	2023-04-17T16:12:00Z	06389bfb04f577cde4e0c06f042a22b4	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/boot/1.3-28/06389bfb04f577cde4e0c06f042a22b4/boot	available
4.2.2	brew	1.0.8	2023-04-17T16:12:01Z	560b8ebd21d0cbe1552e866597a2afb3	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/brew/1.0-8/560b8ebd21d0cbe1552e866597a2afb3/brew	available
4.2.2	brio	1.1.3	2023-04-17T16:12:01Z	492ce475ae772835e5a6160e90fc3d74	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/brio/1.1.3/492ce475ae772835e5a6160e90fc3d74/brio	available
4.2.2	broom	1.0.3	2023-04-17T16:12:02Z	bc2acc25bb02393eff805cccbea33746	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/broom/1.0.3/bc2acc25bb02393eff805cccbea33746/broom	available
4.2.2	bslib	0.4.2	2023-04-17T16:12:12Z	db5ccc6b04ca20c4e9f8e19ed358d1f1	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/bslib/0.4.2/db5ccc6b04ca20c4e9f8e19ed358d1f1/bslib	available
4.2.2	cachem	1.0.6	2023-04-17T16:12:16Z	df2f2468e3fb35839d2872d47f5d3a1e	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/cachem/1.0.6/df2f2468e3fb35839d2872d47f5d3a1e/cachem	available
4.2.2	callr	3.7.3	2023-04-17T16:12:16Z	e587c3f5e3c1f04a7d0e2340eeaf19d2	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/callr/3.7.3/e587c3f5e3c1f04a7d0e2340eeaf19d2/callr	available
4.2.2	car	3.1.1	2023-04-17T16:12:17Z	b3513c51ab99339064196b98544dc2dc	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/car/3.1-1/b3513c51ab99339064196b98544dc2dc/car	available
4.2.2	carData	3.0.5	2023-04-17T16:12:17Z	0b07a38c7166969ee2b21dfbb7a9b30c	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/carData/3.0-5/0b07a38c7166969ee2b21dfbb7a9b30c/carData	available
4.2.2	cellranger	1.1.0	2023-04-17T16:12:17Z	c41d820e447977250272b88d822ebc42	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/cellranger/1.1.0/c41d820e447977250272b88d822ebc42/cellranger	available
4.2.2	class	7.3.20	2023-04-17T16:12:18Z	257a0023fd7205addb2cf726f7227801	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/class/7.3-20/257a0023fd7205addb2cf726f7227801/class	available
4.2.2	cli	3.6.0	2023-04-17T16:12:18Z	c76f4974beedc4c95e71323911160278	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/cli/3.6.0/c76f4974beedc4c95e71323911160278/cli	available
4.2.2	clipr	0.8.0	2023-04-17T16:12:19Z	ddc38fc3aa1f8678592387d0d64a7583	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/clipr/0.8.0/ddc38fc3aa1f8678592387d0d64a7583/clipr	available
4.2.2	cluster	2.1.4	2023-04-17T16:12:20Z	0bcf167fbe11f9014c29df7737b9f1ff	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/cluster/2.1.4/0bcf167fbe11f9014c29df7737b9f1ff/cluster	available
4.2.2	codetools	0.2.18	2023-04-17T16:12:20Z	0e2bee268fdb2c60a097f3561699a4f3	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/codetools/0.2-18/0e2bee268fdb2c60a097f3561699a4f3/codetools	available
4.2.2	colorspace	2.1.0	2023-04-17T16:12:22Z	3c1c01ed782872006e9a82eb6d212051	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/colorspace/2.1-0/3c1c01ed782872006e9a82eb6d212051/colorspace	available
4.2.2	commonmark	1.8.1	2023-04-17T16:12:23Z	197eb79736c6b5a6bd0829fd06c3eebe	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/commonmark/1.8.1/197eb79736c6b5a6bd0829fd06c3eebe/commonmark	available
4.2.2	compiler	4.2.2	2023-04-17T16:12:23Z	9a093c53af3c87a149625bfc4f7b10b4	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/compiler/4.2.2/9a093c53af3c87a149625bfc4f7b10b4/compiler	base
4.2.2	conflicted	1.2.0	2023-04-17T16:12:24Z	72840ff7e3bb9420e7493802c52a82f4	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/conflicted/1.2.0/72840ff7e3bb9420e7493802c52a82f4/conflicted	active
4.2.2	cpp11	0.4.3	2023-04-17T16:12:25Z	6587db86604ec91f8c53f40dcd9eb8f0	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/cpp11/0.4.3/6587db86604ec91f8c53f40dcd9eb8f0/cpp11	available
4.2.2	crayon	1.5.2	2023-04-17T16:12:25Z	8aaf9b498cbf903c8ff03b46c0fba664	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/crayon/1.5.2/8aaf9b498cbf903c8ff03b46c0fba664/crayon	available
4.2.2	credentials	1.3.2	2023-04-17T16:12:26Z	be2b00705987df279082b63d7d7f4f7a	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/credentials/1.3.2/be2b00705987df279082b63d7d7f4f7a/credentials	available
4.2.2	curl	5.0.0	2023-04-17T16:12:27Z	32f0fa39f7dce45c97891e0e3d33f04b	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/curl/5.0.0/32f0fa39f7dce45c97891e0e3d33f04b/curl	available
4.2.2	data.table	1.14.8	2023-04-17T16:12:29Z	17cfe6572fb29cf4bb5e1df991993139	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/data.table/1.14.8/17cfe6572fb29cf4bb5e1df991993139/data.table	available
4.2.2	datasets	4.2.2	2023-04-17T16:12:29Z	8b8712fc090b676fe7189499818f044a	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/datasets/4.2.2/8b8712fc090b676fe7189499818f044a/datasets	base
4.2.2	DBI	1.1.3	2023-04-17T16:12:30Z	95bd5ed31d8d655faf71f95dda5fc8b6	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/DBI/1.1.3/95bd5ed31d8d655faf71f95dda5fc8b6/DBI	available
4.2.2	dbplyr	2.3.1	2023-04-17T16:12:31Z	7560f6d792d54bb2e3e7e5f60d93139d	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/dbplyr/2.3.1/7560f6d792d54bb2e3e7e5f60d93139d/dbplyr	available
4.2.2	desc	1.4.2	2023-04-17T16:12:32Z	23e888154e15756f15c263682513328e	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/desc/1.4.2/23e888154e15756f15c263682513328e/desc	available
4.2.2	devtools	2.4.5	2023-04-17T16:12:32Z	a5ad572c5e906b1c4031442b758c46b3	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/devtools/2.4.5/a5ad572c5e906b1c4031442b758c46b3/devtools	available
4.2.2	diffobj	0.3.5	2023-04-17T16:12:33Z	ed26211718584739805b3bdb981ba043	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/diffobj/0.3.5/ed26211718584739805b3bdb981ba043/diffobj	available
4.2.2	digest	0.6.31	2023-04-17T16:12:34Z	a59d6d345886ddbaec245927de20eb41	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/digest/0.6.31/a59d6d345886ddbaec245927de20eb41/digest	available
4.2.2	downlit	0.4.2	2023-04-17T16:12:34Z	53e46be83a22c29d476ffc762fcc7338	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/downlit/0.4.2/53e46be83a22c29d476ffc762fcc7338/downlit	available
4.2.2	dplyr	1.1.0	2023-04-17T16:12:35Z	d16dd74d77da8bc6879f54fd32ada0ce	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/dplyr/1.1.0/d16dd74d77da8bc6879f54fd32ada0ce/dplyr	available
4.2.2	drc	3.0.1	2023-04-17T16:12:36Z	a989e0c179b152833ef95fa0fe15f917	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/drc/3.0-1/a989e0c179b152833ef95fa0fe15f917/drc	available
4.2.2	dtplyr	1.3.0	2023-04-17T16:12:36Z	824fa74d6d7942b65967cf1de49c891e	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/dtplyr/1.3.0/824fa74d6d7942b65967cf1de49c891e/dtplyr	available
4.2.2	ellipsis	0.3.2	2023-04-17T16:12:36Z	dcbab0d5cd6ad7287810200f2df0a4f9	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/ellipsis/0.3.2/dcbab0d5cd6ad7287810200f2df0a4f9/ellipsis	available
4.2.2	evaluate	0.20	2023-04-17T16:12:37Z	a7a9f234db7949be637eb54a65066b13	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/evaluate/0.20/a7a9f234db7949be637eb54a65066b13/evaluate	available
4.2.2	fansi	1.0.4	2023-04-17T16:12:37Z	ff27e039d577c20ab239728342bdde60	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/fansi/1.0.4/ff27e039d577c20ab239728342bdde60/fansi	available
4.2.2	farver	2.1.1	2023-04-17T16:12:37Z	ddd3cfcd0fcd9a7aa4d122f1cee78467	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/farver/2.1.1/ddd3cfcd0fcd9a7aa4d122f1cee78467/farver	available
4.2.2	fastmap	1.1.0	2023-04-17T16:12:38Z	b7232f56864722b835c93c9e3f04de99	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/fastmap/1.1.0/b7232f56864722b835c93c9e3f04de99/fastmap	available
4.2.2	filelock	1.0.2	2023-04-17T16:12:38Z	fead095e871a803c204102a870b8619a	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/filelock/1.0.2/fead095e871a803c204102a870b8619a/filelock	available
4.2.2	fontawesome	0.5.0	2023-04-17T16:12:38Z	5a3007e59e1d887a77bc7764170422be	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/fontawesome/0.5.0/5a3007e59e1d887a77bc7764170422be/fontawesome	available
4.2.2	forcats	1.0.0	2023-04-17T16:12:39Z	82d55fcbf1ed08a27a06d93fce4eaed6	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/forcats/1.0.0/82d55fcbf1ed08a27a06d93fce4eaed6/forcats	available
4.2.2	foreign	0.8.83	2023-04-17T16:12:40Z	33de6a1632bcd373914484088e741737	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/foreign/0.8-83/33de6a1632bcd373914484088e741737/foreign	available
4.2.2	fs	1.6.1	2023-04-17T16:12:41Z	40f702ff99d42d26c45c9e92686b7fff	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/fs/1.6.1/40f702ff99d42d26c45c9e92686b7fff/fs	active
4.2.2	gargle	1.3.0	2023-04-17T16:12:42Z	220f81089d3043576c673dc8abaace6a	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/gargle/1.3.0/220f81089d3043576c673dc8abaace6a/gargle	available
4.2.2	generics	0.1.3	2023-04-17T16:12:42Z	3ca33a9be741288381ab73a966c3602c	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/generics/0.1.3/3ca33a9be741288381ab73a966c3602c/generics	available
4.2.2	gert	1.9.2	2023-04-17T16:12:43Z	b5f61d2479034da0b00b278fc9b59fbe	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/gert/1.9.2/b5f61d2479034da0b00b278fc9b59fbe/gert	active
4.2.2	ggplot2	3.4.1	2023-04-17T16:12:43Z	24619aec7381f9b1cb4763f714a62ff8	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/ggplot2/3.4.1/24619aec7381f9b1cb4763f714a62ff8/ggplot2	available
4.2.2	gh	1.4.0	2023-04-17T16:12:44Z	799d2fc5258c37abfd23f89bb3ad1483	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/gh/1.4.0/799d2fc5258c37abfd23f89bb3ad1483/gh	available
4.2.2	gitcreds	0.1.2	2023-04-17T16:12:44Z	22ed8b83d53da7ffe9a430f4fee82f9b	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/gitcreds/0.1.2/22ed8b83d53da7ffe9a430f4fee82f9b/gitcreds	available
4.2.2	glue	1.6.2	2023-04-17T16:12:45Z	3a23e5372c16fd5d7062bb37ff61eb2b	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/glue/1.6.2/3a23e5372c16fd5d7062bb37ff61eb2b/glue	available
4.2.2	googledrive	2.0.0	2023-04-17T16:12:45Z	ad6b783fd0f9821ef5e93ede986d920e	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/googledrive/2.0.0/ad6b783fd0f9821ef5e93ede986d920e/googledrive	available
4.2.2	googlesheets4	1.0.1	2023-04-17T16:12:46Z	bdb0758b7194e3e6c9b9ab239ea59949	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/googlesheets4/1.0.1/bdb0758b7194e3e6c9b9ab239ea59949/googlesheets4	available
4.2.2	graphics	4.2.2	2023-04-17T16:12:46Z	3416c041813c27c2b0c596c3e5a34b23	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/graphics/4.2.2/3416c041813c27c2b0c596c3e5a34b23/graphics	base
4.2.2	grDevices	4.2.2	2023-04-17T16:12:48Z	2c094726e21566108a99deaca57e2857	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/grDevices/4.2.2/2c094726e21566108a99deaca57e2857/grDevices	base
4.2.2	grid	4.2.2	2023-04-17T16:12:49Z	6119a9f0fa00708f4876d0366f894120	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/grid/4.2.2/6119a9f0fa00708f4876d0366f894120/grid	base
4.2.2	gtable	0.3.1	2023-04-17T16:12:50Z	9c8883b3e6c275c283ad928bf2acb470	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/gtable/0.3.1/9c8883b3e6c275c283ad928bf2acb470/gtable	available
4.2.2	gtools	3.9.4	2023-04-17T16:12:50Z	d32cb2406c584ca77fb63ffaba48fea9	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/gtools/3.9.4/d32cb2406c584ca77fb63ffaba48fea9/gtools	available
4.2.2	haven	2.5.1	2023-04-17T16:12:51Z	2b74c0208993401fd5a9b1f3509e72f1	D:/My OSU Academics/Summer2023/DataScience/Week1/Cache/r_4_2_cache/library/haven/2.5.1/2b74c0208993401fd5a9b1f3509e72f1/haven	available
